County,Year(s),Number of Extreme Heat Days
Monroe,2009,10
Monroe,2010,47
Monroe,2011,39
Monroe,2012,45
Monroe,2013,37
Monroe,2014,25
Monroe,2015,29
Monroe,2016,50
Montcalm,1979,3
Montcalm,1980,15
Montcalm,1981,8
Montcalm,1982,5
Montcalm,1983,30
Montcalm,1984,7
Montcalm,1985,6
Montcalm,1986,8
Montcalm,1987,23
Montcalm,1988,33
Montcalm,1989,7
Montcalm,1990,8
Montcalm,1991,19
Montcalm,1992,3
Montcalm,1993,9
Montcalm,1994,9
Montcalm,1995,19
Montcalm,1996,5
Montcalm,1997,11
Montcalm,1998,14
Montcalm,1999,16
Montcalm,2000,5
Montcalm,2001,17
Montcalm,2002,23
Montcalm,2003,12
Montcalm,2004,8
Montcalm,2005,32
Montcalm,2006,21
Montcalm,2007,23
Montcalm,2008,13
Montcalm,2009,5
Montcalm,2010,32
Montcalm,2011,29
Montcalm,2012,34
Montcalm,2013,25
Montcalm,2014,11
Montcalm,2015,17
Montcalm,2016,26
Montmorency,1980,2
Montmorency,1981,2
Montmorency,1982,1
Montmorency,1983,12
Montmorency,1984,3
Montmorency,1985,2
Montmorency,1986,6
Montmorency,1987,9
Montmorency,1988,14
Montmorency,1989,4
Montmorency,1990,2
Montmorency,1991,10
Montmorency,1993,3
Montmorency,1994,3
Montmorency,1995,9
Montmorency,1996,3
Montmorency,1997,4
Montmorency,1998,5
Montmorency,1999,9
Montmorency,2000,1
Montmorency,2001,12
Montmorency,2002,12
Montmorency,2003,6
Montmorency,2004,2
Montmorency,2005,19
Montmorency,2006,13
Montmorency,2007,12
Montmorency,2008,1
Montmorency,2009,3
Montmorency,2010,12
Montmorency,2011,17
Montmorency,2012,13
Montmorency,2013,13
Montmorency,2014,5
Montmorency,2015,8
Montmorency,2016,8
Muskegon,1979,1
Muskegon,1980,14
Muskegon,1981,5
Muskegon,1982,3
Muskegon,1983,23
Muskegon,1984,7
Muskegon,1985,3
Muskegon,1986,7
Muskegon,1987,17
Muskegon,1988,29
Muskegon,1989,4
Muskegon,1990,5
Muskegon,1991,16
Muskegon,1992,2
Muskegon,1993,5
Muskegon,1994,8
Muskegon,1995,18
Muskegon,1996,4
Muskegon,1997,9
Muskegon,1998,10
Muskegon,1999,14
Muskegon,2000,4
Muskegon,2001,15
Muskegon,2002,13
Muskegon,2003,10
Muskegon,2004,1
Muskegon,2005,24
Muskegon,2006,17
Muskegon,2007,17
Muskegon,2008,6
Muskegon,2009,4
Muskegon,2010,26
Muskegon,2011,27
Muskegon,2012,28
Muskegon,2013,20
Muskegon,2014,9
Muskegon,2015,12
Muskegon,2016,17
Newaygo,1979,4
Newaygo,1980,15
Newaygo,1981,6
Newaygo,1982,4
Newaygo,1983,27
Newaygo,1984,6
Newaygo,1985,6
Newaygo,1986,7
Newaygo,1987,23
Newaygo,1988,33
Newaygo,1989,4
Newaygo,1990,6
Newaygo,1991,18
Newaygo,1992,2
Newaygo,1993,10
Newaygo,1994,8
Newaygo,1995,19
Newaygo,1996,4
Newaygo,1997,9
Newaygo,1998,12
Newaygo,1999,16
Newaygo,2000,5
Newaygo,2001,17
Newaygo,2002,18
Newaygo,2003,12
Newaygo,2004,4
Newaygo,2005,32
Newaygo,2006,21
Newaygo,2007,22
Newaygo,2008,9
Newaygo,2009,4
Newaygo,2010,26
Newaygo,2011,28
Newaygo,2012,35
Newaygo,2013,25
Newaygo,2014,11
Newaygo,2015,16
Newaygo,2016,26
Oakland,1979,6
Oakland,1980,17
Oakland,1981,8
Oakland,1982,7
Oakland,1983,30
Oakland,1984,10
Oakland,1985,8
Oakland,1986,11
Oakland,1987,22
Oakland,1988,33
Oakland,1989,10
Oakland,1990,10
Oakland,1991,23
Oakland,1992,2
Oakland,1993,16
Oakland,1994,11
Oakland,1995,26
Oakland,1996,8
Oakland,1997,12
Oakland,1998,17
Oakland,1999,21
Oakland,2000,8
Oakland,2001,17
Oakland,2002,30
Oakland,2003,12
Oakland,2004,8
Oakland,2005,30
Oakland,2006,17
Oakland,2007,20
Oakland,2008,15
Oakland,2009,5
Oakland,2010,35
Oakland,2011,30
Oakland,2012,34
Oakland,2013,28
Oakland,2014,19
Oakland,2015,19
Oakland,2016,34
Oceana,1979,1
Oceana,1980,9
Oceana,1981,1
Oceana,1982,1
Oceana,1983,11
Oceana,1984,3
Oceana,1985,2
Oceana,1986,5
Oceana,1987,11
Oceana,1988,23
Oceana,1989,2
Oceana,1990,4
Oceana,1991,8
Oceana,1992,1
Oceana,1993,2
Oceana,1994,5
Oceana,1995,10
Oceana,1996,3
Oceana,1997,5
Oceana,1998,4
Oceana,1999,9
Oceana,2000,1
Oceana,2001,11
Oceana,2002,8
Oceana,2003,5
Oceana,2005,13
Oceana,2006,12
Oceana,2007,5
Oceana,2008,1
Oceana,2009,2
Oceana,2010,17
Oceana,2011,16
Oceana,2012,20
Oceana,2013,12
Oceana,2014,5
Oceana,2015,5
Oceana,2016,11
Ogemaw,1979,3
Ogemaw,1980,6
Ogemaw,1981,2
Ogemaw,1982,2
Ogemaw,1983,18
Ogemaw,1984,5
Ogemaw,1985,3
Ogemaw,1986,6
Ogemaw,1987,16
Ogemaw,1988,19
Ogemaw,1989,4
Ogemaw,1990,4
Ogemaw,1991,13
Ogemaw,1992,1
Ogemaw,1993,5
Ogemaw,1994,6
Ogemaw,1995,12
Ogemaw,1996,3
Ogemaw,1997,7
Ogemaw,1998,6
Ogemaw,1999,14
Ogemaw,2000,2
Ogemaw,2001,12
Ogemaw,2002,15
Ogemaw,2003,7
Ogemaw,2004,3
Ogemaw,2005,22
Ogemaw,2006,16
Ogemaw,2007,12
Ogemaw,2008,3
Ogemaw,2009,3
Ogemaw,2010,17
Ogemaw,2011,25
Ogemaw,2012,19
Ogemaw,2013,22
Ogemaw,2014,6
Ogemaw,2015,11
Ogemaw,2016,15
Ontonagon,1982,1
Ontonagon,1983,2
Ontonagon,1986,1
Ontonagon,1988,6
Ontonagon,1989,1
Ontonagon,1991,6
Ontonagon,1995,3
Ontonagon,1996,1
Ontonagon,1999,1
Ontonagon,2001,6
Ontonagon,2002,5
Ontonagon,2003,2
Ontonagon,2005,5
Ontonagon,2006,7
Ontonagon,2007,3
Ontonagon,2010,4
Ontonagon,2011,6
Ontonagon,2012,4
Ontonagon,2013,7
Ontonagon,2014,1
Ontonagon,2015,1
Ontonagon,2016,3
Osceola,1979,2
Osceola,1980,9
Osceola,1981,2
Osceola,1982,3
Osceola,1983,21
Osceola,1984,4
Osceola,1985,3
Osceola,1986,6
Osceola,1987,15
Osceola,1988,24
Osceola,1989,3
Osceola,1990,3
Osceola,1991,14
Osceola,1992,1
Osceola,1993,4
Osceola,1994,5
Osceola,1995,14
Osceola,1996,4
Osceola,1997,7
Osceola,1998,8
Osceola,1999,10
Osceola,2000,3
Osceola,2001,15
Osceola,2002,13
Osceola,2003,9
Osceola,2005,17
Osceola,2006,15
Osceola,2007,13
Osceola,2008,4
Osceola,2009,4
Osceola,2010,21
Osceola,2011,24
Osceola,2012,25
Osceola,2013,17
Osceola,2014,7
Osceola,2015,11
Osceola,2016,18
Oscoda,1979,1
Oscoda,1980,3
Oscoda,1981,2
Oscoda,1982,1
Oscoda,1983,15
Oscoda,1984,3
Oscoda,1985,2
Oscoda,1986,6
Oscoda,1987,11
Oscoda,1988,18
Oscoda,1989,4
Oscoda,1990,2
Oscoda,1991,10
Oscoda,1993,3
Oscoda,1994,5
Oscoda,1995,9
Oscoda,1996,3
Oscoda,1997,6
Oscoda,1998,5
Oscoda,1999,9
Oscoda,2000,2
Oscoda,2001,12
Oscoda,2002,12
Oscoda,2003,6
Oscoda,2004,1
Oscoda,2005,19
Oscoda,2006,13
Oscoda,2007,10
Oscoda,2008,1
Oscoda,2009,3
Oscoda,2010,11
Oscoda,2011,22
Oscoda,2012,14
Oscoda,2013,14
Oscoda,2014,5
Oscoda,2015,10
Oscoda,2016,9
Otsego,1980,2
Otsego,1981,1
Otsego,1982,1
Otsego,1983,6
Otsego,1984,1
Otsego,1985,1
Otsego,1986,5
Otsego,1987,6
Otsego,1988,12
Otsego,1989,2
Otsego,1990,1
Otsego,1991,6
Otsego,1993,2
Otsego,1994,3
Otsego,1995,7
Otsego,1996,2
Otsego,1997,3
Otsego,1998,2
Otsego,1999,6
Otsego,2000,1
Otsego,2001,11
Otsego,2002,5
Otsego,2003,2
Otsego,2005,7
Otsego,2006,11
Otsego,2007,7
Otsego,2009,2
Otsego,2010,8
Otsego,2011,15
Otsego,2012,10
Otsego,2013,12
Otsego,2014,4
Otsego,2015,5
Otsego,2016,7
Ottawa,1979,1
Ottawa,1980,14
Ottawa,1981,5
Ottawa,1982,4
Ottawa,1983,23
Ottawa,1984,8
Ottawa,1985,3
Ottawa,1986,8
Ottawa,1987,21
Ottawa,1988,31
Ottawa,1989,5
Ottawa,1990,6
Ottawa,1991,19
Ottawa,1992,2
Ottawa,1993,7
Ottawa,1994,8
Ottawa,1995,19
Ottawa,1996,4
Ottawa,1997,10
Ottawa,1998,12
Ottawa,1999,16
Ottawa,2000,5
Ottawa,2001,14
Ottawa,2002,14
Ottawa,2003,7
Ottawa,2004,4
Ottawa,2005,25
Ottawa,2006,16
Ottawa,2007,18
Ottawa,2008,9
Ottawa,2009,4
Ottawa,2010,28
Ottawa,2011,29
Ottawa,2012,31
Ottawa,2013,22
Ottawa,2014,10
Ottawa,2015,13
Ottawa,2016,18
Presque Isle,1983,1
Presque Isle,1986,1
Presque Isle,1988,2
Presque Isle,2002,1
Presque Isle,2006,4
Presque Isle,2011,1
Roscommon,1979,2
Roscommon,1980,5
Roscommon,1981,2
Roscommon,1982,3
Roscommon,1983,18
Roscommon,1984,3
Roscommon,1985,2
Roscommon,1986,6
Roscommon,1987,11
Roscommon,1988,19
Roscommon,1989,3
Roscommon,1990,3
Roscommon,1991,12
Roscommon,1993,4
Roscommon,1994,6
Roscommon,1995,12
Roscommon,1996,3
Roscommon,1997,7
Roscommon,1998,6
Roscommon,1999,11
Roscommon,2000,2
Roscommon,2001,11
Roscommon,2002,12
Roscommon,2003,6
Roscommon,2005,17
Roscommon,2006,16
Roscommon,2007,10
Roscommon,2009,4
Roscommon,2010,15
Roscommon,2011,24
Roscommon,2012,17
Roscommon,2013,16
Roscommon,2014,5
Roscommon,2015,10
Roscommon,2016,11
Saginaw,1979,10
Saginaw,1980,16
Saginaw,1981,9
Saginaw,1982,6
Saginaw,1983,30
Saginaw,1984,12
Saginaw,1985,10
Saginaw,1986,10
Saginaw,1987,23
Saginaw,1988,34
Saginaw,1989,12
Saginaw,1990,10
Saginaw,1991,21
Saginaw,1992,2
Saginaw,1993,13
Saginaw,1994,12
Saginaw,1995,24
Saginaw,1996,8
Saginaw,1997,13
Saginaw,1998,20
Saginaw,1999,21
Saginaw,2000,9
Saginaw,2001,18
Saginaw,2002,27
Saginaw,2003,14
Saginaw,2004,10
Saginaw,2005,37
Saginaw,2006,22
Saginaw,2007,23
Saginaw,2008,16
Saginaw,2009,6
Saginaw,2010,38
Saginaw,2011,33
Saginaw,2012,36
Saginaw,2013,29
Saginaw,2014,16
Saginaw,2015,23
Saginaw,2016,32
St. Clair,1979,10
St. Clair,1980,18
St. Clair,1981,8
St. Clair,1982,8
St. Clair,1983,31
St. Clair,1984,11
St. Clair,1985,10
St. Clair,1986,11
St. Clair,1987,23
St. Clair,1988,33
St. Clair,1989,10
St. Clair,1990,10
St. Clair,1991,22
St. Clair,1992,2
St. Clair,1993,15
St. Clair,1994,11
St. Clair,1995,23
St. Clair,1996,9
St. Clair,1997,13
St. Clair,1998,16
St. Clair,1999,22
St. Clair,2000,8
St. Clair,2001,17
St. Clair,2002,32
St. Clair,2003,11
St. Clair,2004,8
St. Clair,2005,35
St. Clair,2006,18
St. Clair,2007,24
St. Clair,2008,13
St. Clair,2009,4
St. Clair,2010,34
St. Clair,2011,28
St. Clair,2012,27
St. Clair,2013,24
St. Clair,2014,17
St. Clair,2015,19
St. Clair,2016,33
St. Joesph,1979,8
St. Joesph,1980,30
St. Joesph,1981,9
St. Joesph,1982,9
St. Joesph,1983,37
St. Joesph,1984,15
St. Joesph,1985,12
St. Joesph,1986,15
St. Joesph,1987,27
St. Joesph,1988,38
St. Joesph,1989,12
St. Joesph,1990,15
St. Joesph,1991,30
St. Joesph,1992,5
St. Joesph,1993,19
St. Joesph,1994,14
St. Joesph,1995,31
St. Joesph,1996,11
St. Joesph,1997,16
St. Joesph,1998,18
St. Joesph,1999,31
St. Joesph,2000,16
St. Joesph,2001,22
St. Joesph,2002,31
St. Joesph,2003,15
St. Joesph,2004,9
St. Joesph,2005,34
St. Joesph,2006,26
St. Joesph,2007,29
St. Joesph,2008,23
St. Joesph,2009,12
St. Joesph,2010,46
St. Joesph,2011,39
St. Joesph,2012,49
St. Joesph,2013,32
St. Joesph,2014,22
St. Joesph,2015,30
St. Joesph,2016,44
Sanilac,1979,3
Sanilac,1980,8
Sanilac,1981,4
Sanilac,1982,3
Sanilac,1983,21
Sanilac,1984,3
Sanilac,1985,6
Sanilac,1986,7
Sanilac,1987,17
Sanilac,1988,30
Sanilac,1989,5
Sanilac,1990,5
Sanilac,1991,18
Sanilac,1992,1
Sanilac,1993,8
Sanilac,1994,8
Sanilac,1995,13
Sanilac,1996,5
Sanilac,1997,9
Sanilac,1998,11
Sanilac,1999,13
Sanilac,2000,3
Sanilac,2001,12
Sanilac,2002,18
Sanilac,2003,6
Sanilac,2004,5
Sanilac,2005,19
Sanilac,2006,14
Sanilac,2007,16
Sanilac,2008,5
Sanilac,2009,4
Sanilac,2010,23
Sanilac,2011,25
Sanilac,2012,18
Sanilac,2013,19
Sanilac,2014,8
Sanilac,2015,12
Sanilac,2016,22
Schoolcraft,1980,1
Schoolcraft,1983,3
Schoolcraft,1986,1
Schoolcraft,1988,7
Schoolcraft,1991,1
Schoolcraft,1995,3
Schoolcraft,1998,1
Schoolcraft,1999,3
Schoolcraft,2001,3
Schoolcraft,2002,2
Schoolcraft,2005,5
Schoolcraft,2006,7
Schoolcraft,2007,1
Schoolcraft,2011,4
Schoolcraft,2012,4
Schoolcraft,2013,3
Schoolcraft,2016,2
Shiawassee,1979,7
Shiawassee,1980,18
Shiawassee,1981,9
Shiawassee,1982,9
Shiawassee,1983,29
Shiawassee,1984,13
Shiawassee,1985,9
Shiawassee,1986,11
Shiawassee,1987,23
Shiawassee,1988,34
Shiawassee,1989,9
Shiawassee,1990,10
Shiawassee,1991,20
Shiawassee,1992,2
Shiawassee,1993,13
Shiawassee,1994,11
Shiawassee,1995,26
Shiawassee,1996,8
Shiawassee,1997,12
Shiawassee,1998,16
Shiawassee,1999,22
Shiawassee,2000,7
Shiawassee,2001,16
Shiawassee,2002,28
Shiawassee,2003,14
Shiawassee,2004,8
Shiawassee,2005,33
Shiawassee,2006,19
Shiawassee,2007,23
Shiawassee,2008,17
Shiawassee,2009,5
Shiawassee,2010,39
Shiawassee,2011,31
Shiawassee,2012,36
Shiawassee,2013,31
Shiawassee,2014,17
Shiawassee,2015,22
Shiawassee,2016,36
Tuscola,1979,8
Tuscola,1980,15
Tuscola,1981,7
Tuscola,1982,5
Tuscola,1983,25
Tuscola,1984,8
Tuscola,1985,7
Tuscola,1986,10
Tuscola,1987,20
Tuscola,1988,31
Tuscola,1989,8
Tuscola,1990,7
Tuscola,1991,21
Tuscola,1992,2
Tuscola,1993,9
Tuscola,1994,9
Tuscola,1995,20
Tuscola,1996,7
Tuscola,1997,12
Tuscola,1998,15
Tuscola,1999,18
Tuscola,2000,5
Tuscola,2001,15
Tuscola,2002,26
Tuscola,2003,10
Tuscola,2004,7
Tuscola,2005,29
Tuscola,2006,18
Tuscola,2007,17
Tuscola,2008,9
Tuscola,2009,4
Tuscola,2010,31
Tuscola,2011,26
Tuscola,2012,30
Tuscola,2013,28
Tuscola,2014,10
Tuscola,2015,17
Tuscola,2016,27
Van Buren,1979,6
Van Buren,1980,22
Van Buren,1981,9
Van Buren,1982,8
Van Buren,1983,28
Van Buren,1984,10
Van Buren,1985,9
Van Buren,1986,10
Van Buren,1987,25
Van Buren,1988,37
Van Buren,1989,10
Van Buren,1990,11
Van Buren,1991,26
Van Buren,1992,5
Van Buren,1993,13
Van Buren,1994,12
Van Buren,1995,24
Van Buren,1996,9
Van Buren,1997,14
Van Buren,1998,17
Van Buren,1999,21
Van Buren,2000,12
Van Buren,2001,20
Van Buren,2002,25
Van Buren,2003,12
Van Buren,2004,7
Van Buren,2005,31
Van Buren,2006,22
Van Buren,2007,23
Van Buren,2008,15
Van Buren,2009,10
Van Buren,2010,40
Van Buren,2011,34
Van Buren,2012,43
Van Buren,2013,28
Van Buren,2014,20
Van Buren,2015,22
Van Buren,2016,34
Washtenaw,1979,6
Washtenaw,1980,20
Washtenaw,1981,9
Washtenaw,1982,8
Washtenaw,1983,35
Washtenaw,1984,12
Washtenaw,1985,8
Washtenaw,1986,12
Washtenaw,1987,27
Washtenaw,1988,34
Washtenaw,1989,9
Washtenaw,1990,13
Washtenaw,1991,26
Washtenaw,1992,3
Washtenaw,1993,20
Washtenaw,1994,15
Washtenaw,1995,28
Washtenaw,1996,10
Washtenaw,1997,14
Washtenaw,1998,15
Washtenaw,1999,24
Washtenaw,2000,12
Washtenaw,2001,21
Washtenaw,2002,30
Washtenaw,2003,13
Washtenaw,2004,8
Washtenaw,2005,31
Washtenaw,2006,20
Washtenaw,2007,23
Washtenaw,2008,17
Washtenaw,2009,7
Washtenaw,2010,38
Washtenaw,2011,33
Washtenaw,2012,41
Washtenaw,2013,31
Washtenaw,2014,20
Washtenaw,2015,23
Washtenaw,2016,37
Wayne,1979,12
Wayne,1980,26
Wayne,1981,10
Wayne,1982,10
Wayne,1983,37
Wayne,1984,17
Wayne,1985,11
Wayne,1986,17
Wayne,1987,29
Wayne,1988,39
Wayne,1989,18
Wayne,1990,16
Wayne,1991,29
Wayne,1992,4
Wayne,1993,24
Wayne,1994,20
Wayne,1995,34
Wayne,1996,14
Wayne,1997,15
Wayne,1998,21
Wayne,1999,28
Wayne,2000,13
Wayne,2001,23
Wayne,2002,40
Wayne,2003,18
Wayne,2004,11
Wayne,2005,39
Wayne,2006,24
Wayne,2007,26
Wayne,2008,21
Wayne,2009,10
Wayne,2010,43
Wayne,2011,32
Wayne,2012,41
Wayne,2013,30
Wayne,2014,21
Wayne,2015,27
Wayne,2016,41
Wexford,1979,2
Wexford,1980,6
Wexford,1981,1
Wexford,1982,3
Wexford,1983,17
Wexford,1984,2
Wexford,1985,3
Wexford,1986,6
Wexford,1987,15
Wexford,1988,17
Wexford,1989,3
Wexford,1990,2
Wexford,1991,12
Wexford,1993,2
Wexford,1994,4
Wexford,1995,9
Wexford,1996,3
Wexford,1997,4
Wexford,1998,5
Wexford,1999,7
Wexford,2000,1
Wexford,2001,14
Wexford,2002,10
Wexford,2003,6
Wexford,2005,13
Wexford,2006,12
Wexford,2007,13
Wexford,2008,1
Wexford,2009,4
Wexford,2010,14
Wexford,2011,20
Wexford,2012,23
Wexford,2013,12
Wexford,2014,6
Wexford,2015,8
Wexford,2016,13
